"numer_incydentu","dni_od_poprzedniego"
1,0.291120344772935
2,0.147388314362615
3,3.93149552866817
4,15.9743386454167
5,10.1630686805584
6,34.1053648276149
7,6.53997438959777
8,9.72661640960723
9,2.49162959955606
10,8.40979577042162
11,11.4834025728734
12,10.1436761138029
13,15.0228541765026
14,2.01129139747761
15,1.98661178004322
16,8.41886037960649
17,4.17660162784159
18,16.0301518946173
19,7.46198237640783
20,20.2870033721657
21,6.11882326891646
22,6.82486752513796
23,2.80121701555545
24,24.9388622548964
25,3.26850633602589
26,16.2473418138208
27,1.37214559363201
28,21.4283448703607
29,14.3114662303807
30,13.8645975937353
31,0.817485346924514
32,13.0279245686935
33,1.6348331538029
34,0.327823760921518
35,0.499047690125198
36,12.6752088273453
37,1.69886113569169
38,29.5770686189196
39,2.56043886300176
40,5.72788168860284
41,5.15128650848867
42,21.620155282921
43,4.38770895358175
44,36.3078980967125
45,22.8318342109391
46,2.35424399030035
47,26.1649136351733
48,8.18927811691537
49,14.7625844639944
50,62.2235911401147
51,43.1279395760953
52,8.83690105285496
53,0.498378253541887
54,58.5814928325051
55,15.3688750968533
56,19.8661635483833
57,5.30208313604817
58,23.777649559683
59,19.9550684116067
60,37.0991915538629
61,41.7847985004015
62,14.4108704615437
63,3.42065589022516
64,4.98557941289619
65,12.0757749716969
66,23.6855930385896
67,1.99397954202452
68,51.8792539064713
69,8.47503558732569
70,13.2007941700129
71,17.6938284834133
72,17.1635816193404
73,17.0700407254728
74,8.26974591705948
75,8.47738094860688
76,16.7096448869662
77,6.85885374667123
78,14.9682045907931
79,4.77617789125954
80,18.744814521003
