"stanowisko","halas_dB"
"A_montaz",79.884132330175
"A_montaz",82.6655681024502
"A_montaz",80.9811057009442
"A_montaz",83.3311294377516
"A_montaz",82.7297312513105
"A_montaz",86.658374998072
"A_montaz",84.3739714029115
"A_montaz",78.4328810831305
"A_montaz",84.3090132414296
"A_montaz",78.7003776757678
"A_montaz",77.3709845695062
"A_montaz",85.1119950960249
"A_montaz",77.1831128561077
"A_montaz",83.2268564085907
"A_montaz",78.6653658374318
"A_montaz",87.672564654015
"A_montaz",84.8471444714029
"A_montaz",80.3900091085505
"A_montaz",85.197448874858
"A_montaz",83.7059377422278
"A_montaz",77.3204053202575
"A_montaz",81.1751993588279
"A_montaz",78.2775587630256
"A_montaz",83.797590263167
"A_montaz",79.4207741817507
"A_montaz",81.0743092407562
"A_montaz",77.0545279542185
"A_montaz",78.1561788071079
"A_montaz",82.5358251262782
"A_montaz",78.0037891081229
"A_montaz",81.4341172367471
"A_montaz",82.6693195985953
"A_montaz",81.2048455493133
"A_montaz",80.8351712476316
"A_montaz",75.0624118630029
"A_montaz",80.9090866730696
"A_montaz",74.8002820732127
"A_montaz",86.6109639072122
"A_montaz",77.986722057632
"A_montaz",82.5928401771702
"A_montaz",84.0779867229967
"A_montaz",82.021745177903
"A_montaz",87.3880833386158
"A_montaz",78.611866330816
"A_montaz",83.7735920692631
"A_montaz",78.0914021267067
"A_montaz",90.4979645420544
"A_montaz",84.7507958422462
"A_montaz",80.6265271192784
"A_montaz",85.1406778906958
"B_spawalnia",67.9002374353405
"B_spawalnia",93.4829239679533
"B_spawalnia",67.9008998774696
"B_spawalnia",64.7084250033677
"B_spawalnia",77.484589828308
"B_spawalnia",86.3675482428485
"B_spawalnia",77.8962038005605
"B_spawalnia",71.1984584268967
"B_spawalnia",89.8197367587275
"B_spawalnia",104.213615917284
"B_spawalnia",61.6631985132169
"B_spawalnia",93.0874723403943
"B_spawalnia",73.6793633605937
"B_spawalnia",87.7462691597313
"B_spawalnia",62.6639423667092
"B_spawalnia",75.5984309701728
"B_spawalnia",69.5222878173496
"B_spawalnia",73.5432259476014
"B_spawalnia",68.5410764024936
"B_spawalnia",81.5356164103288
"B_spawalnia",90.2569682199974
"B_spawalnia",73.5119250337736
"B_spawalnia",75.8968104280196
"B_spawalnia",68.2591137701564
"B_spawalnia",87.9007904643116
"B_spawalnia",83.4400402940706
"B_spawalnia",64.6504716034169
"B_spawalnia",93.1711448352622
"B_spawalnia",67.7892893769666
"B_spawalnia",68.7493445163525
"B_spawalnia",65.3715640669181
"B_spawalnia",67.5924571497197
"B_spawalnia",74.8099797895011
"B_spawalnia",83.15011027598
"B_spawalnia",71.6211339696692
"B_spawalnia",76.159523216328
"B_spawalnia",75.410311870224
"B_spawalnia",89.7672293765924
"B_spawalnia",102.653250518637
"B_spawalnia",68.6105307859532
"B_spawalnia",98.0476249317231
"B_spawalnia",100.738147669301
"B_spawalnia",80.1967981093106
"B_spawalnia",86.8638816970247
"B_spawalnia",63.3106588485267
"B_spawalnia",82.514214833105
"B_spawalnia",73.0695045945863
"B_spawalnia",76.4669887606526
"B_spawalnia",83.3433493522249
"B_spawalnia",88.2972048611272
