"odmiana","plon_tha"
"A_stabilna",4.74651233499522
"A_stabilna",5.76792525420646
"A_stabilna",5.62564615833186
"A_stabilna",6.47081001726031
"A_stabilna",7.16589110670826
"A_stabilna",6.65660045663961
"A_stabilna",4.85118694952567
"A_stabilna",5.52994558592322
"A_stabilna",7.20537683149676
"A_stabilna",6.11059427958774
"A_stabilna",5.09188904259825
"A_stabilna",6.12991534340388
"A_stabilna",6.53484922955149
"A_stabilna",5.95338093646119
"A_stabilna",7.0565959839905
"A_stabilna",6.47120634860694
"A_stabilna",6.283988923737
"A_stabilna",7.2251910544215
"A_stabilna",7.52803322050739
"A_stabilna",7.62082351730251
"A_stabilna",7.80450418329857
"A_stabilna",7.36551569168758
"A_stabilna",5.57009453030737
"A_stabilna",6.67131017130947
"A_stabilna",5.74621243638318
"A_stabilna",5.87306942972291
"A_stabilna",5.9228351322543
"A_stabilna",5.94046763105802
"A_stabilna",6.96601266887181
"A_stabilna",5.08677044928273
"A_stabilna",5.4706333304933
"A_stabilna",6.41719735777339
"A_stabilna",6.38278298220731
"A_stabilna",7.08773423714733
"A_stabilna",5.83006366726724
"A_stabilna",4.89622078338805
"A_stabilna",5.34261776397637
"A_stabilna",6.81454168682533
"A_stabilna",5.30462158287504
"A_stabilna",6.80135171607819
"A_stabilna",4.96172912561024
"A_stabilna",6.12449893464583
"A_stabilna",6.01945702614077
"A_stabilna",6.49181262065059
"A_stabilna",5.14221112031388
"A_stabilna",4.09142543550174
"A_stabilna",6.21652063175369
"A_stabilna",5.8622439463653
"A_stabilna",5.74492209165489
"A_stabilna",6.49002440257106
"A_stabilna",5.04677767028154
"A_stabilna",6.48211319877865
"A_stabilna",4.92884781039859
"A_stabilna",4.87244032665805
"A_stabilna",6.27121864954828
"A_stabilna",6.71209273641358
"A_stabilna",6.61293754026859
"A_stabilna",4.65718756719084
"A_stabilna",6.21081347297815
"A_stabilna",5.23064816922431
"B_wrazliwa",5.30212812674722
"B_wrazliwa",4.26823249316065
"B_wrazliwa",2.75782174641179
"B_wrazliwa",6.64162630066776
"B_wrazliwa",6.75993925076511
"B_wrazliwa",5.78685474611003
"B_wrazliwa",7.98810780291519
"B_wrazliwa",5.79991142566487
"B_wrazliwa",4.87771488110571
"B_wrazliwa",4.75987746814501
"B_wrazliwa",4.84014025020552
"B_wrazliwa",4.06908972013008
"B_wrazliwa",4.93092304753242
"B_wrazliwa",3.5384763430956
"B_wrazliwa",6.71483886635148
"B_wrazliwa",4.81419877115613
"B_wrazliwa",5.67043900065603
"B_wrazliwa",4.41850578690287
"B_wrazliwa",6.019094929224
"B_wrazliwa",8.10114236381415
"B_wrazliwa",6.46480231721947
"B_wrazliwa",8.10561283086638
"B_wrazliwa",6.01531189886174
"B_wrazliwa",4.16309100607741
"B_wrazliwa",3.34857746491769
"B_wrazliwa",5.87067263118376
"B_wrazliwa",3.656477126866
"B_wrazliwa",4.96095674230132
"B_wrazliwa",5.61698371764378
"B_wrazliwa",6.57614034310188
"B_wrazliwa",7.24815853310695
"B_wrazliwa",4.02688398605376
"B_wrazliwa",3.61876161044108
"B_wrazliwa",4.44671771821833
"B_wrazliwa",5.24544373037159
"B_wrazliwa",6.63636860796387
"B_wrazliwa",2.89113935784614
"B_wrazliwa",7.1822315786498
"B_wrazliwa",5.49077101790597
"B_wrazliwa",7.14234548417266
"B_wrazliwa",5.44596849713013
"B_wrazliwa",5.03076108626159
"B_wrazliwa",3.63974997105143
"B_wrazliwa",5.27812075675697
"B_wrazliwa",6.17666697299071
"B_wrazliwa",4.31098087165166
"B_wrazliwa",6.78898603711939
"B_wrazliwa",6.27784192025432
"B_wrazliwa",5.94955460902004
"B_wrazliwa",4.64350223057209
"B_wrazliwa",3.84442996325823
"B_wrazliwa",6.01089723320396
"B_wrazliwa",5.59549037821225
"B_wrazliwa",4.95324871382717
"B_wrazliwa",4.60085130769131
"B_wrazliwa",5.26564420102767
"B_wrazliwa",6.34033513425498
"B_wrazliwa",2.435866042864
"B_wrazliwa",4.79418328152845
"B_wrazliwa",4.9429170537597
