"numer_opadu","dni_od_poprzedniego"
1,12.496543014002
2,1.82833186457763
3,52.9043124773004
4,20.2611967354062
5,8.69701766366971
6,2.73450921755284
7,16.5220784665878
8,38.7867717982686
9,1.97350175830864
10,4.20705042779446
11,20.67758558234
12,11.7062175986916
13,5.16546146012843
14,6.61630243528634
15,13.089638556865
16,0.204313095784369
17,3.81632469594479
18,8.20985565262455
19,8.29684940124762
20,0.493246670812368
21,5.39981574751437
22,12.4670945941926
23,46.5081613113113
24,10.8873789846422
25,4.60811788216233
26,0.243068043759125
27,3.58002516861338
28,0.879246480762959
29,12.9713500136182
30,5.3663032874465
31,1.53590542264283
32,10.3385457865477
33,4.5451521454379
34,15.2454281403663
35,10.3221769440444
36,2.04245520601335
37,2.65841099442055
38,5.08684996515512
39,17.8730949006023
40,10.7292284439774
41,21.0921297396038
42,11.5180647819786
43,1.81634263135493
44,7.44478267575515
45,0.305076623335481
46,13.3422080236943
47,9.02432734694956
48,11.5715141776474
49,5.98236692138016
50,8.52677798787964
51,1.70316747855395
52,2.03305101487786
53,1.78213618559885
54,8.76314916446618
55,8.09142757106026
56,0.151933496817946
57,22.1041640812967
58,1.16141687113059
59,12.3550761766256
60,14.9291058705309
