"numer_awarii","godziny_od_poprzedniej"
1,7.79815095629463
2,7.10063291307459
3,2.64806999079883
4,0.980197889730334
5,7.96799552407036
6,0.620255015613949
7,7.72450393404732
8,1.13865926489234
9,1.69030157931575
10,0.79490570537746
11,1.8096686899662
12,17.3247607489279
13,16.1173821902814
14,0.0834469143301249
15,4.4035122169364
16,1.41784461773932
17,0.973198112459869
18,0.0613737146986273
19,17.6211754818609
20,3.00987824073494
21,9.74890335598841
22,2.04180352203548
23,2.15645562298596
24,1.08579602092505
25,1.40272656455636
26,0.267934346571565
27,1.60060960976201
28,0.0263054147362709
29,4.61567362753635
30,1.3975763364751
31,2.24831758439541
32,4.3081038406301
33,2.07496412098408
34,1.44341131858528
35,0.0155826024232903
36,11.4665817313625
37,1.13546589761972
38,0.302364125847816
39,0.0705699186161494
40,4.40567897988443
41,0.0494993552565575
42,7.26778730716477
43,7.68541055884133
44,5.32246240211611
45,7.42714999582539
46,0.606757213085205
47,1.12889009714127
48,2.62743644975126
49,3.13785450241837
50,1.77035599388182
51,1.90361932363252
52,1.45769935287535
53,6.45299152996311
54,1.12888027541339
55,4.99689574895387
56,0.694357267562658
57,3.71493530256634
58,3.16678148863797
59,5.78609601374636
60,2.15276838093996
61,4.89306866733317
62,1.8106102142483
63,3.71884418634658
64,1.3736954748498
65,6.58152820881376
66,1.81937962584198
67,4.03268672881608
68,0.666232205836825
69,8.15470347519884
70,0.645150241227243
71,1.35863851755857
72,13.6328034990265
73,4.02208383686414
74,0.647022001445293
75,8.74676453542568
76,4.24633168784862
77,2.78814053891187
78,1.48679603263736
79,0.0494498036699034
80,0.542936617508531
